2022-05-18 13:05:912 INFO  HomePage :59 - Get text log outProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
2022-05-18 13:05:208 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:89 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f1fc638309c3eba3eec05b7b4c116438)] -> link text: Log in]
2022-05-18 13:05:107 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (f1fc638309c3eba3eec05b7b4c116438)] -> id: Email]
2022-05-18 13:05:181 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (f1fc638309c3eba3eec05b7b4c116438)] -> name: Password]
2022-05-18 13:05:252 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (f1fc638309c3eba3eec05b7b4c116438)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 13:05:651 INFO  HomePage :70 - Click on log outProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
2022-05-18 13:05:37 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:74 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b434710fa0491eb956eee6bbffee958f)] -> link text: Log in]
2022-05-18 13:05:100 INFO  LoginPage :43 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b434710fa0491eb956eee6bbffee958f)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-18 13:05:799 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:711 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ea3008e16a772f7c8a32702ca65cfb08)] -> link text: Log in]
2022-05-18 13:05:728 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (ea3008e16a772f7c8a32702ca65cfb08)] -> id: Email]
2022-05-18 13:05:792 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (ea3008e16a772f7c8a32702ca65cfb08)] -> name: Password]
2022-05-18 13:05:850 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (ea3008e16a772f7c8a32702ca65cfb08)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 13:05:216 INFO  LoginPage :64 - Error message[[ChromeDriver: chrome on WINDOWS (ea3008e16a772f7c8a32702ca65cfb08)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-18 13:05:903 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:681 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (36caabd82b2564cb7494a752f6b0d64c)] -> link text: Log in]
2022-05-18 13:05:696 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (36caabd82b2564cb7494a752f6b0d64c)] -> id: Email]
2022-05-18 13:05:761 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (36caabd82b2564cb7494a752f6b0d64c)] -> name: Password]
2022-05-18 13:05:815 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (36caabd82b2564cb7494a752f6b0d64c)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 13:05:217 INFO  LoginPage :64 - Error message[[ChromeDriver: chrome on WINDOWS (36caabd82b2564cb7494a752f6b0d64c)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-18 13:05:908 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:893 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (caac53d49b52005938d77511967d7cd1)] -> link text: Log in]
2022-05-18 13:05:911 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (caac53d49b52005938d77511967d7cd1)] -> id: Email]
2022-05-18 13:05:973 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (caac53d49b52005938d77511967d7cd1)] -> name: Password]
2022-05-18 13:05:29 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (caac53d49b52005938d77511967d7cd1)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 13:05:399 INFO  LoginPage :64 - Error message[[ChromeDriver: chrome on WINDOWS (caac53d49b52005938d77511967d7cd1)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-18 13:05:85 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:46 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d2061c1eb151fc43514f9537676cd25e)] -> link text: Log in]
2022-05-18 13:05:60 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (d2061c1eb151fc43514f9537676cd25e)] -> id: Email]
2022-05-18 13:05:125 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (d2061c1eb151fc43514f9537676cd25e)] -> name: Password]
2022-05-18 13:05:184 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (d2061c1eb151fc43514f9537676cd25e)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 13:05:588 INFO  HomePage :59 - Get text log outProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
2022-05-18 13:05:422 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:339 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (630c044429431bc80d4f706ecf71aff6)] -> link text: Log in]
2022-05-18 13:05:354 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (630c044429431bc80d4f706ecf71aff6)] -> id: Email]
2022-05-18 13:05:420 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (630c044429431bc80d4f706ecf71aff6)] -> name: Password]
2022-05-18 13:05:482 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (630c044429431bc80d4f706ecf71aff6)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 13:05:865 INFO  HomePage :70 - Click on log outProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
