2022-05-15 17:05:444 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8cbe972eea70578251fc5bf2e92af576)] -> link text: Log in]
2022-05-15 17:05:904 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 17:05:862 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (712fdd0806c2ab647fb5f7f5d7525bd8)] -> link text: Log in]
2022-05-15 17:05:593 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 17:05:754 INFO  RegisterPage :27 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (08ed792a54328b0a7ce79f03d8d2e789)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 17:05:477 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 17:05:564 INFO  RegisterPage :27 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (8d305812b0a1dc481327724e7fcd5c29)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 17:05:708 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 17:05:825 INFO  RegisterPage :27 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (ebf68ccfbdfe3e328d5a34216e3ba5ac)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 17:05:995 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 17:05:646 INFO  RegisterPage :27 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (689e92698c4f9b8f88dc7abbe67ed5dd)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 17:05:658 INFO  RegisterPage :30 - Register text not displayed [[ChromeDriver: chrome on WINDOWS (689e92698c4f9b8f88dc7abbe67ed5dd)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-15 18:05:638 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 18:05:35 INFO  RegisterPage :47 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (40434efcb9089e0d80df243fb888861a)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 18:05:116 INFO  RegisterPage :57 - First name is not required [[ChromeDriver: chrome on WINDOWS (40434efcb9089e0d80df243fb888861a)] -> id: FirstName-error]
2022-05-15 18:05:140 INFO  RegisterPage :61 - Last name is not required [[ChromeDriver: chrome on WINDOWS (40434efcb9089e0d80df243fb888861a)] -> id: LastName-error]
2022-05-15 18:05:164 INFO  RegisterPage :65 - Email is not required [[ChromeDriver: chrome on WINDOWS (40434efcb9089e0d80df243fb888861a)] -> id: Email-error]
2022-05-15 18:05:190 INFO  RegisterPage :69 - Password is not required [[ChromeDriver: chrome on WINDOWS (40434efcb9089e0d80df243fb888861a)] -> id: Password-error]
2022-05-15 18:05:698 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 18:05:20 INFO  RegisterPage :47 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (278c4ed678a6b043b759acb0b5e10f4d)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 18:05:92 INFO  RegisterPage :57 - First name is not required [[ChromeDriver: chrome on WINDOWS (278c4ed678a6b043b759acb0b5e10f4d)] -> id: FirstName-error]
2022-05-15 18:05:122 INFO  RegisterPage :61 - Last name is not required [[ChromeDriver: chrome on WINDOWS (278c4ed678a6b043b759acb0b5e10f4d)] -> id: LastName-error]
2022-05-15 18:05:146 INFO  RegisterPage :65 - Email is not required [[ChromeDriver: chrome on WINDOWS (278c4ed678a6b043b759acb0b5e10f4d)] -> id: Email-error]
2022-05-15 18:05:172 INFO  RegisterPage :69 - Password is not required [[ChromeDriver: chrome on WINDOWS (278c4ed678a6b043b759acb0b5e10f4d)] -> id: Password-error]
2022-05-15 19:05:947 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 19:05:824 INFO  RegisterPage :47 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (4aee49d01986d1d832854bdd5f4bb941)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 19:05:908 INFO  RegisterPage :57 - First name is not required [[ChromeDriver: chrome on WINDOWS (4aee49d01986d1d832854bdd5f4bb941)] -> id: FirstName-error]
